,doc_id,sentence
374,20,""
375,20,"and not a sinew—stirred—could help,"
376,20,"and sense was setting numb—"
377,20,"when god—remembered—and the fiend"
378,20,"let go, then, overcome—"
379,20,""
380,20,"as if your sentence stood—pronounced—"
381,20,"and you were frozen led"
382,20,"from dungeon's luxury of doubt"
383,20,"to gibbets, and the dead—"
384,20,""
385,20,"and when the film had stitched your eyes"
386,20,"a creature gasped ""reprieve""!"
387,20,"which anguish was the utterest—then—"
388,20,"to perish, or to live?"
389,21,394
390,21,""
391,21,"'twas love—not me—"
392,21,"oh punish—pray—"
393,21,"the real one died for thee—"
394,21,just him—not me—
395,21,""
396,21,"such guilt—to love thee—most!"
397,21,"doom it beyond the rest—"
398,21,"forgive it—last—"
399,21,'twas base as jesus—most!
400,21,""
401,21,"let justice not mistake—"
402,21,"we two—looked so alike—"
403,21,"which was the guilty sake—"
404,21,'twas love's—now strike!
405,22,344
406,22,""
407,22,"'twas the old—road—through pain—"
408,22,"that unfrequented—one—"
409,22,"with many a turn—and thorn—"
410,22,that stops—at heaven—
411,22,""
412,22,"this—was the town—she passed—"
413,22,"there—where she—rested—last—"
414,22,"then—stepped more fast—"
415,22,"the little tracks—close prest—"
416,22,"then—not so swift—"
417,22,"slow—slow—as feet did weary—grow—"
418,22,then—stopped—no other track!
419,22,""
420,22,"wait! look! her little book—"
421,22,"the leaf—at love—turned back—"
422,22,"her very hat—"
423,22,"and this worn shoe just fits the track—"
424,22,herself—though—fled!
425,22,""
426,22,"another bed—a short one—"
427,22,"women make—tonight—"
428,22,"in chambers bright—"
429,22,"too out of sight—though—"
430,22,"for our hoarse good night—"
431,22,to touch her head!
432,23,519
433,23,""
434,23,"'twas warm—at first—like us—"
435,23,"until there crept upon"
436,23,"a chill—like frost upon a glass—"
437,23,"till all the scene—be gone,"
438,23,""
439,23,"the forehead copied stone—"
440,23,"the fingers grew too cold"
441,23,"to ache—and like a skater's brook—"
442,23,the busy eyes—congealed—
443,23,""
444,23,"it straightened—that was all—"
445,23,"it crowded cold to cold—"
446,23,"it multiplied indifference—"
447,23,as pride were all it could—
448,23,""
449,23,"and even when with cords—"
450,23,"'twas lowered, like a weight—"
451,23,"it made no signal, nor demurred,"
452,23,"but dropped like adamant,"
453,24,682
454,24,""
455,24,"'twould ease—a butterfly—"
456,24,"elate—a bee—"
457,24,"thou'rt neither—"
458,24,neither—thy capacity—
459,24,""
460,24,"but, blossom, were i,"
461,24,"i would rather be"
462,24,"thy moment"
463,24,than a bee's eternity—
464,24,""
465,24,"content of fading"
466,24,"is enough for me—"
467,24,fade i unto divinity—
468,24,""
469,24,"and dying—lifetime—"
470,24,"ample as the eye—"
471,24,her least attention raise on me—
472,25,"a bird came down the walk,"
473,25,"he did not know i saw;"
474,25,"he bit an angle-worm in halves"
475,25,"and ate the fellow, raw,"
476,25,""
477,25,"and then he drank a dew"
478,25,"from a convenient grass,"
479,25,"and then hopped sidewise to the wall"
480,25,"to let a beetle pass,"
481,25,""
482,25,"he glanced with rapid eyes"
483,25,"that hurried all abroad,--"
484,25,"they looked like frightened beads, i thought;"
485,25,he stirred his velvet head
486,25,""
487,25,"like one in danger; cautious,"
488,25,"i offered him a crumb,"
489,25,"and he unrolled his feathers"
490,25,and rowed him softer home
491,25,""
492,25,"than oars divide the ocean,"
493,25,"too silver for a seam,"
494,25,"or butterflies, off banks of noon,"
495,25,"leap, splashless, as they swim,"
496,26,"there is no frigate like a book"
497,26,"to take us lands away,"
498,26,"nor any coursers like a page"
499,26,"of prancing poetry,"
500,26,"this traverse may the poorest take"
501,26,"without oppress of toll;"
502,26,"how frugal is the chariot"
503,26,that bears a human soul!
504,27,229
505,27,""
506,27,"a burdock—clawed my gown—"
507,27,"not burdock's—blame—"
508,27,"but mine—"
509,27,"who went too near"
510,27,the burdock's den—
511,27,""
512,27,"a bog—affronts my shoe—"
513,27,"what else have bogs—to do—"
514,27,"the only trade they know—"
515,27,"the splashing men!"
516,27,"ah, pity—then!"
517,27,""
518,27,"'tis minnows can despise!"
519,27,"the elephant's—calm eyes"
520,27,look further on!
521,28,421
522,28,""
523,28,"a charm invests a face"
524,28,"imperfectly beheld—"
525,28,"the lady date not lift her veil"
526,28,for fear it be dispelled—
527,28,""
528,28,"but peers beyond her mesh—"
529,28,"and wishes—and denies—"
530,28,"lest interview—annul a want"
531,28,that image—satisfies—
532,29,"a clock stopped -- not the mantel's"
533,29,"  geneva's farthest skill"
534,29,"can't put the puppet bowing"
535,29,"  that just now dangled still,"
536,29,""
537,29,"an awe came on the trinket!"
538,29,"  the figures hunched with pain,"
539,29,"then quivered out of decimals"
540,29,"  into degreeless noon,"
541,29,""
542,29,"it will not stir for doctors,"
543,29,"  this pendulum of snow;"
544,29,"the shopman importunes it,"
545,29,"  while cool, concernless no"
546,29,""
547,29,"nods from the gilded pointers,"
548,29,"  nods from seconds slim,"
549,29,"decades of arrogance between"
550,29,"  the dial life and him,"
551,30,895
552,30,""
553,30,"a cloud withdrew from the sky"
554,30,"superior glory be"
555,30,"but that cloud and its auxiliaries"
556,30,are forever lost to me
557,30,""
558,30,"had i but further scanned"
559,30,"had i secured the glow"
560,30,"in an hermetic memory"
561,30,"it had availed me now,"
562,30,""
563,30,"never to pass the angel"
564,30,"with a glance and a bow"
565,30,"till i am firm in heaven"
566,30,"is my intention now,"
567,31,943
568,31,""
569,31,"a coffin—is a small domain,"
570,31,"yet able to contain"
571,31,"a citizen of paradise"
572,31,"in it diminished plane,"
573,31,""
574,31,"a grave—is a restricted breadth—"
575,31,"yet ampler than the sun—"
576,31,"and all the seas he populates"
577,31,and lands he looks upon
578,31,""
579,31,"to him who on its small repose"
580,31,"bestows a single friend—"
581,31,"circumference without relief—"
582,31,or estimate—or end—
583,32,87
584,32,""
585,32,"a darting fear—a pomp—a tear—"
586,32,"a waking on a morn"
587,32,"to find that what one waked for,"
588,32,"inhales the different dawn,"
589,33,42
590,33,""
591,33,"a day! help! help! another day!"
592,33,"your prayers, oh passer by!"
593,33,"from such a common ball as this"
594,33,"might date a victory!"
595,33,"from marshallings as simple"
596,33,"the flags of nations swang,"
597,33,"steady—my soul, what issues"
598,33,upon thine arrow hang!
599,34,816
600,34,""
601,34,"a death blow is a life blow to some"
602,34,"who till they died, did not alive become—"
603,34,"who had they lived, had died but when"
604,34,"they died, vitality begun,"
605,35,"a door just opened on a street--"
606,35,"  i, lost, was passing by--"
607,35,"an instant's width of warmth disclosed"
608,35,"  and wealth, and company,"
609,35,""
610,35,"the door as sudden shut, and i,"
611,35,"  i, lost, was passing by,--"
612,35,"lost doubly, but by contrast most,"
613,35,"  enlightening misery,"
614,36,859
615,36,""
616,36,"a doubt if it be us"
617,36,"assists the staggering mind"
618,36,"in an extremer anguish"
619,36,"until it footing find,"
620,36,""
621,36,"an unreality is lent,"
622,36,"a merciful mirage"
623,36,"that makes the living possible"
624,36,"while it suspends the lives,"
625,37,"a drop fell on the apple tree"
626,37,"another on the roof;"
627,37,"a half a dozen kissed the eaves,"
628,37,"and made the gables laugh,"
629,37,""
630,37,"a few went out to help the brook,"
631,37,"that went to help the sea,"
632,37,"myself conjectured, were they pearls,"
633,37,what necklaces could be!
634,37,""
635,37,"the dust replaced in hoisted roa"
636,37,"the birds jocoser sung;"
637,37,"the sunshine threw his hat away,"
638,37,"the orchards spangles hung,"
639,37,""
640,37,"the breezes brought dejected"
641,37,"and bathed them in the glee;"
642,37,"the east put out a single flag,"
643,37,"and signed the fete away,"
644,38,566
645,38,""
646,38,"a dying tiger—moaned for drink—"
647,38,"i hunted all the sand—"
648,38,"i caught the dripping of a rock"
649,38,and bore it in my hand—
650,38,""
651,38,"his mighty balls—in death were thick—"
652,38,"but searching—i could see"
653,38,"a vision on the retina"
654,38,of water—and of me—
655,38,""
656,38,"'twas not my blame—who sped too slow—"
657,38,"'twas not his blame—who died"
658,38,"while i was reaching him—"
659,38,but 'twas—the fact that he was dead—
660,39,161
661,39,""
662,39,"a feather from the whippoorwill"
663,39,"that everlasting—sings!"
664,39,"whose galleries—are sunrise—"
665,39,"whose opera—the springs—"
666,39,"whose emerald nest the ages spin"
667,39,"of mellow—murmuring thread—"
668,39,"whose beryl egg, what schoolboys hunt"
669,39,"in ""recess""—overhead!"
670,40,702
671,40,""
672,40,"a first mute coming—"
673,40,"in the stranger's house—"
674,40,"a first fair going—"
675,40,when the bells rejoice—
676,40,""
677,40,"a first exchange—of"
678,40,"what hath mingled—been—"
679,40,"for lot—exhibited to"
680,40,faith—alone—
681,41,173
682,41,""
683,41,"a fuzzy fellow, without feet,"
684,41,"yet doth exceeding run!"
685,41,"of velvet, is his countenance,"
686,41,"and his complexion, dun!"
687,41,""
688,41,"sometime, he dwelleth in the grass!"
689,41,"sometime, upon a bough,"
690,41,"from which he doth descend in plush"
691,41,upon the passer-by!
692,41,""
693,41,"all this in summer,"
694,41,"but when winds alarm the forest folk,"
695,41,"he taketh damask residence—"
696,41,and struts in sewing silk!
697,41,""
698,41,"then, finer than a lady,"
699,41,"emerges in the spring!"
700,41,"a feather on each shoulder!"
701,41,you'd scarce recognize him!
702,41,""
703,41,"by men, yclept caterpillar!"
704,41,"by me! but who am i,"
705,41,"to tell the pretty secret"
706,41,of the butterfly!
707,42,353
708,42,""
709,42,"a happy lip—breaks sudden—"
710,42,"it doesn't state you how"
711,42,"it contemplated—smiling—"
712,42,"just consummated—now—"
713,42,"but this one, wears its merriment"
714,42,"so patient—like a pain—"
715,42,"fresh gilded—to elude the eyes"
716,42,"unqualified, to scan—"
717,43,"a house upon the height—"
718,43,"that wagon never reached—"
719,43,"no dead, were ever carried down—"
720,43,no peddler's cart—approached—
721,43,""
722,43,"whose chimney never smoked—"
723,43,"whose windows—night and morn—"
724,43,"caught sunrise first—and sunset—last—"
725,43,then—held an empty pane—
726,43,""
727,43,"whose fate—conjecture knew—"
728,43,"no other neighbor—did—"
729,43,"and what it was—we never lisped—"
730,43,because he—never told—
731,44,74
732,44,""
733,44,"a lady red—amid the hill"
734,44,"her annual secret keeps!"
735,44,"a lady white, within the field"
736,44,in placid lily sleeps!
737,44,""
738,44,"the tidy breezes, with their brooms—"
739,44,"sweep vale—and hill—and tree!"
740,44,"prithee, my pretty housewives!"
741,44,who may expected be?
742,44,""
743,44,"the neighbors do not yet suspect!"
744,44,"the woods exchange a smile!"
745,44,"orchard, and buttercup, and bird—"
746,44,in such a little while!
747,44,""
748,44,"and yet, how still the landscape stands!"
749,44,"how nonchalant the hedge!"
750,44,"as if the ""resurrection"""
751,44,were nothing very strange!
752,45,"a light exists in spring"
753,45,"  not present on the year"
754,45,"at any other period,"
755,45,  when march is scarcely here
756,45,""
757,45,"a color stands abroad"
758,45,"  on solitary hills"
759,45,"that science cannot overtake,"
760,45,"  but human naturefeels,"
761,45,""
762,45,"it waits upon the lawn;"
763,45,"  it shows the furthest tree"
764,45,"upon the furthest slope we know;"
765,45,"  it almost speaks to me,"
766,45,""
767,45,"then, as horizons step,"
768,45,"  or noons report away,"
769,45,"without the formula of sound,"
770,45,"  it passes, and we stay,"
771,45,""
772,45,"a quality of loss"
773,45,"  affecting our content,"
774,45,"as trade had suddenly encroached"
775,45,"  upon a sacrament,"
776,46,159
777,46,""
778,46,"a little bread—a crust—a crumb—"
779,46,"a little trust—a demijohn—"
780,46,"can keep the soul alive—"
781,46,"not portly, mind! but breathing—warm—"
782,46,"conscious—as old napoleon,"
783,46,the night before the crown!
784,46,""
785,46,"a modest lot—a fame petite—"
786,46,"a brief campaign of sting and sweet"
787,46,"is plenty! is enough!"
788,46,"a sailor's business is the shore!"
789,46,"a soldier's—balls! who asketh more,"
790,46,must seek the neighboring life!
791,47,"a little east of jordan,"
792,47,"   evangelists record,"
793,47,"   a gymnast and an angel"
794,47,"   did wrestle long and hard,"
795,47,"   till morning touching mountain--"
796,47,"   and jacob, waxing strong,"
797,47,"   the angel begged permission"
798,47,"   to breakfast to return,"
799,47,"   ""not so,"" said cunning jacob!"
800,47,"  ""i will not let thee go"
801,47,"  except thou bless me""--stranger!"
802,47,"  the which acceded to,"
803,47,""
804,47,"  light swung the silver fleeces"
805,47,"  ""peniel"" hills beyond,"
806,47,"  and the bewildered gymnast"
807,47,  found he had worsted god!
808,48,"a little road—not made of man—"
809,48,"enabled of the eye—"
810,48,"accessible to thill of bee—"
811,48,or cart of butterfly—
812,48,""
813,48,"if town it have—beyond itself—"
814,48,"'tis that—i cannot say—"
815,48,"i only know—no curricle that rumble there"
816,48,bear me—
817,49,"a long, long sleep, a famous sleep"
818,49,"that makes no show for dawn"
819,49,"by stretch of limb or stir of lid, --"
820,49,"an independent one,"
821,49,""
822,49,"was ever idleness like this?"
823,49,"within a hut of stone"
824,49,"to bask the centuries away"
825,49,nor once look up for noon?
826,50,959
827,50,""
828,50,"a loss of something ever felt i—"
829,50,"the first that i could recollect"
830,50,"bereft i was—of what i knew not"
831,50,too young that any should suspect
832,50,""
833,50,"a mourner walked among the children"
834,50,"i notwithstanding went about"
835,50,"as one bemoaning a dominion"
836,50,itself the only prince cast out—
837,50,""
838,50,"elder, today, a session wiser"
